Round,Timestamp,Accuracy,Loss
1,12.763959407806396,96.66,0.17075023588411567
2,24.968113660812378,97.98,0.10108735274374799
3,37.02317714691162,98.35,0.0894925490077347
4,46.262396812438965,98.63,0.0721113427924331
5,56.948888301849365,98.63,0.0721113427924331
6,66.83272552490234,98.68,0.07459855158558619
7,78.98203182220459,98.68,0.07118614485350619
8,91.00097393989563,98.78,0.06906580875749968
9,100.78628540039062,98.92,0.06838315794344527
10,112.85594916343689,98.85,0.07630015157773722
11,122.77316045761108,98.94,0.06908149053085026
12,135.08597779273987,98.9,0.07910254900954863
13,147.26836514472961,98.99,0.07823112330821524
14,157.03893733024597,98.96,0.08431582931432276
15,169.16733956336975,98.91,0.08388354052226629
16,179.3106667995453,98.94,0.08986200241273241
17,191.54707050323486,98.97,0.09315781520575388
18,203.9013228416443,98.92,0.09829582181053396
19,213.8142683506012,98.94,0.10272820597240363
20,226.23533129692078,98.93,0.10046816422651679
