Round,Timestamp,Accuracy,Loss
1,36.73,96.89,0.1552081837986043
2,68.60,97.73,0.11431533193007512
3,99.09,98.27,0.0820803359301577
4,134.39,98.4,0.07966482866784577
5,165.96,98.6,0.06780467120149915
6,199.65,89.04,0.3280742121934891
7,232.91,98.37,0.05961624178470726
8,263.77,98.54,0.06102830669452774
9,297.56,98.7,0.05799801792511396
10,330.01,98.99,0.05181373014511928
11,362.44,98.88,0.055562551110354096
12,396.05,98.95,0.05396278819660711
13,430.60,98.84,0.07170614306684832
14,462.82,98.71,0.08241275527879849
15,496.69,98.97,0.05909820123499828
16,532.17,98.92,0.06427667882793531
17,566.23,98.92,0.07085858441722795
18,597.27,98.99,0.06296860343362289
19,630.02,99.02,0.06301498408929807
20,663.71,98.95,0.07289147856727957
