Round,Timestamp,Accuracy,Loss,Participants,Failed_Participants
1,6.86,97.30,0.0885,4,0
2,11.76,98.20,0.0515,4,0
3,16.65,98.58,0.0404,4,0
4,21.59,98.84,0.0340,4,0
5,26.46,98.93,0.0304,4,0
6,31.34,98.97,0.0301,4,0
7,36.28,99.02,0.0279,4,0
8,65.38,98.82,0.0317,2,2
9,70.34,99.05,0.0274,4,0
10,75.18,99.07,0.0271,4,0
11,79.84,99.07,0.0275,4,0
12,84.59,99.06,0.0282,4,0
13,89.50,99.07,0.0287,4,0
14,94.37,99.13,0.0279,4,0
15,99.26,99.12,0.0285,4,0
16,104.16,99.15,0.0284,4,0
17,109.04,99.12,0.0294,4,0
18,113.88,99.12,0.0291,4,0
19,118.81,99.14,0.0298,4,0
20,123.65,99.14,0.0301,4,0
