Round,Timestamp,Accuracy,Loss,Active_Partitions,Failed_Partitions,Mode
1,36.70,16.08,3.0625,2,0,exp1
2,71.42,79.09,0.6197,2,0,exp1
3,106.74,83.98,0.4587,2,0,exp1
4,142.95,85.60,0.4173,2,0,exp1
5,170.75,84.32,0.4742,1,0,exp1
6,206.41,87.32,0.3860,2,0,exp1
7,241.56,87.37,0.3767,2,0,exp1
8,276.68,88.25,0.3658,2,0,exp1
9,311.65,88.54,0.3601,2,0,exp1
10,347.21,88.32,0.3715,2,0,exp1
11,382.35,88.64,0.3537,2,0,exp1
12,417.33,89.19,0.3444,2,0,exp1
13,458.27,88.66,0.3622,2,0,exp1
14,487.94,89.24,0.3463,2,0,exp1
15,523.24,88.75,0.3555,2,0,exp1
16,557.91,89.44,0.3399,2,0,exp1
17,593.62,89.19,0.3448,2,0,exp1
18,628.43,89.25,0.3394,2,0,exp1
19,663.93,89.30,0.3361,2,0,exp1
20,699.77,89.15,0.3419,2,0,exp1
