Round,Timestamp,Accuracy,Loss,Participants,Failed_Participants,Mode
1,45.05,16.27,3.0528,2,0,normal
2,88.78,77.84,0.6421,2,0,normal
3,130.63,82.86,0.4966,2,0,normal
4,173.98,85.48,0.4180,2,0,normal
5,210.82,86.33,0.4045,2,0,normal
6,249.17,87.32,0.3786,2,0,normal
7,287.93,87.96,0.3686,2,0,normal
8,331.56,88.63,0.3445,2,0,normal
9,373.61,88.99,0.3427,2,0,normal
10,416.45,88.93,0.3510,2,0,normal
11,461.60,88.85,0.3568,2,0,normal
12,496.29,89.02,0.3508,2,0,normal
13,537.12,89.46,0.3499,2,0,normal
14,576.88,89.65,0.3441,2,0,normal
15,618.67,89.49,0.3381,2,0,normal
16,657.98,89.64,0.3519,2,0,normal
17,702.18,89.71,0.3604,2,0,normal
18,741.65,89.26,0.3629,2,0,normal
19,781.38,89.68,0.3610,2,0,normal
20,822.64,89.53,0.3553,2,0,normal
