Round,Timestamp,Accuracy,Loss
1,24.47,87.32,0.5595351236701012
2,45.03,90.47,0.4838747916508466
3,65.92,92.72,0.38376169434413315
4,87.01,94.14,0.3170885040219873
5,108.74,95.04,0.2604821080147056
6,131.76,95.84,0.22124804592818254
7,152.45,96.47,0.19102725744658383
8,173.84,96.87,0.1713010532646862
9,194.34,97.08,0.1565394212280913
10,217.29,97.23,0.1484716190043202
11,238.03,97.52,0.1319822780534391
12,259.00,97.58,0.1271297749716614
13,280.29,97.7,0.1218610181189951
14,302.90,97.83,0.11801867503217436
15,326.55,97.89,0.10881035822669378
16,347.48,97.88,0.10587116550338906
17,367.90,98.02,0.10792179525037572
18,389.07,98.11,0.09966594158655565
19,415.34,98.19,0.0934072033257949
20,433.73,98.2,0.09332378506249038
